"Fecha","Horas","O3","O3_8Hrs","NO2","CO_8Hrs","SO2_24Hrs","PM_10_12Hrs","PM_2.5_12Hrs"
2021-01-01,0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,1H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,2H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,3H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,4H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,5H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,6H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,7H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,8H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,9H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,10H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,11H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,12H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,13H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,14H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,15H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,16H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,17H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,18H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,19H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,20H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,21H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,22H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-01,23H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,1H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,2H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,3H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,4H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,5H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,6H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,7H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,8H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,9H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,10H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,11H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,12H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,13H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,14H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,15H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,16H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,17H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,18H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,19H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,20H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,21H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,22H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-02,23H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-03,0S,NA,NA,NA,NA,NA,NA,NA
2021-01-03,1H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-03,2H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-03,3H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-03,4H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-03,5H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-03,6H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-03,7H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-03,8H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2021-01-03,9H 0M 0S,NA,NA,NA,NA,NA,NA,NA
